AN8,ALPH,AT1,PH1,ADD1,ADD2,CTY1,ADDS,ADDZ,COUN,TAX,PA8,UPMJ,UPMT
1001,Limketkai Center Inc,C,+63 82 234 5678,Limketkai Drive,,Cagayan de Oro,10,9000,PHL,123456789000,0,126072,28800
1002,Gaisano Grand Mall,C,+63 32 888 9999,Ouano Avenue,,Mandaue City,07,6014,PHL,987654321000,0,125365,32400
1003,SM Prime Holdings,C,09171234567,Mall of Asia Complex,,Pasay City,00,1300,PHL,112233445500,0,126001,36000
1004,Robinsons Land Corp,C,09189876543,Galleria Corporate Center,,Quezon City,00,1100,PHL,556677889900,0,125300,43200
1005,Ayala Corporation,C,+63 2 8908 3000,Tower One Ayala Triangle,,Makati City,00,1226,PHL,334455667700,0,126050,28800
1006,Pure Gold Price Club,C,09201112222,900 Romualdez Street,,Manila,00,1000,PHL,778899001100,0,125180,54000
1007,Savemore Market,C,,Saving Grace Building,Brgy Poblacion,Cebu City,07,6000,PHL,223344556600,0,126010,28800
1008,Mercury Drug Corp,C,,5 Mercury Avenue,,Pasig City,00,1600,PHL,445566778800,0,125270,39600
1009,Watsons Philippines,C,09351234567,66th Street Bonifacio,BGC,Taguig City,00,1634,PHL,667788990000,0,126055,28800
1010,National Bookstore,C,02-8525-4300,Quad Alpha Centrum,,Mandaluyong,00,1550,PHL,889900112200,0,125320,46800
1011,Puregold Jr,C,09178887776,Puregold Complex,,Valenzuela,00,1440,PHL,111222333400,0,126030,28800
1012,Rustan's Department,C,09209998887,Rustan Center Makati,,Makati City,00,1200,PHL,444555666700,0,125290,32400
1013,Metro Gaisano,C,09331234321,M. Velez Street,,Cebu City,07,6000,PHL,777888999000,0,126020,28800
1014,,C,09152223333,Blumentritt Road,,Manila,00,1000,PHL,222333444500,0,126015,28800
1015,Landmark Department,X,09163334444,Ayala Center,,Makati City,00,1200,PHL,333444555600,0,125340,36000
1016,Ever Gotesco Mall,C,12345,Ever Commonwealth,,Quezon City,00,1100,PHL,555666777800,0,126008,28800
1017,Shopwise Hypermart,C,+63 2 8999 1234,Filinvest Alabang,,Muntinlupa,00,1781,PHL,666777888900,0,126045,54000
1018,Robinsons Supermarket,C,09277778888,Robinsons Place,,Manila,00,1000,PHL,999000111200,1004,126060,28800
1001,Duplicate Record Test,C,09288889999,Duplicate Street,,Quezon City,00,1100,PHL,100200300400,0,126070,28800
1019,Walter Mart,V,09299990000,Walter Mart Center,,Quezon City,00,1100,PHL,200300400500,0,125200,36000
1020,Robinsons Galleria,C,09301234567,Ortigas Center,,Pasig City,00,1605,PHL,300400500600,0,126073,32400
1021,SM City Cebu,C,09321234567,North Reclamation Area,,Cebu City,07,6000,PHL,400500600700,0,126072,36000
