ITM,DSC1,STKT,UOM1,UOM2,SRP1,UPMJ,UPMT
2001,Limketkai Polo Shirt,S,EA,EA,450.00,126072,28800
2001,Limketkai Polo Shirt,S,EA,EA,450.00,126072,28800
2002,Gaisano Slippers Basic,S,EA,EA,199.00,126070,14400
2003,SM Grocery Bag Pack,S,CS,EA,85.00,126071,21600
2004,Ayala Office Chair,S,EA,EA,8500.00,126069,36000
2005,,S,EA,EA,300.00,126070,28800
2006,Robinsons Unknown Type,Z,EA,EA,150.00,126071,14400
2007,Pure Gold Stock Item,S,,EA,75.00,126072,14400
2008,Watsons Mystery Unit,S,XX,EA,200.00,126070,21600
2009,National Bookstore Pen,S,EA,ZZ,25.00,126071,28800
2010,Rustan Category Mix,S,EA,KG,500.00,126072,21600
2011,Shopwise Price Error,S,EA,EA,-100.00,126070,14400
2012,Metro Service Bad UOM,O,KG,KG,750.00,126071,36000
2013,Puregold Rice 5kg,S,KG,KG,280.00,126070,28800
2014,Robinsons Paper Ream,N,EA,EA,195.00,126071,14400
2015,Walter Mart Salt 1kg,S,KG,KG,35.00,126072,21600
2016,SM Water 1L,S,L,L,18.00,126070,36000
2017,Gaisano Ballpen,N,EA,EA,12.00,126071,28800
2018,Consulting Hour Rate,O,HR,HR,2500.00,126069,14400
2019,Ayala Chemical,S,KG,KG,1500.00,126072,36000
